Group,Family,Scientific_name,Name_Status,Accepted_Name,Taxonomic_Note,Origin,FloraStatus,ConceptNum,Acronym,FloraPage,Scientific_name_auths
Dicotyledons,Orobanchaceae,Pedicularis racemosa ssp. albida,Synonym,Pedicularis racemosa,,,,2996,PEDRACALB2,,Pedicularis racemosa Douglas ex Benth. ssp. albida Pennell 
Dicotyledons,Orobanchaceae,Pedicularis racemosa ssp. racemosa,Synonym,Pedicularis racemosa,,,,2996,PEDRACRAC2,,Pedicularis racemosa Douglas ex Benth. ssp. racemosa 
Dicotyledons,Orobanchaceae,Pedicularis racemosa var. alba,Synonym,Pedicularis racemosa,,,,2996,PEDRACALB,,Pedicularis racemosa Douglas ex Benth. var. alba (Pennell) Cronquist 
Dicotyledons,Orobanchaceae,Pedicularis racemosa var. racemosa,Synonym,Pedicularis racemosa,,,,2996,PEDRACRAC,,Pedicularis racemosa Douglas ex Benth. var. racemosa 
Dicotyledons,Orobanchaceae,Pedicularis semibarbata,Accepted,Pedicularis semibarbata,,native,,3005,PEDSEM,,Pedicularis semibarbata A. Gray 
Dicotyledons,Orobanchaceae,Rhinanthus borealis,Synonym,Rhinanthus minor,,,,3488,RHIBOR,,Rhinanthus borealis (Sterneck) Chabert 
Dicotyledons,Orobanchaceae,Rhinanthus borealis ssp. borealis,Synonym,Rhinanthus minor,,,,3488,RHIBORBOR,,Rhinanthus borealis (Sterneck) Chabert ssp. borealis 
Dicotyledons,Orobanchaceae,Rhinanthus borealis ssp. kyrollae,Synonym,Rhinanthus minor,,,,3488,RHIBORKYR,,Rhinanthus borealis (Sterneck) Chabert ssp. kyrollae (Chabert) Pennell 
Dicotyledons,Orobanchaceae,Rhinanthus crista-galli,Synonym,Rhinanthus minor,,,,3488,RHICRI,,Rhinanthus crista-galli L. 
Dicotyledons,Orobanchaceae,Rhinanthus minor,Accepted,Rhinanthus minor,,native,,3488,RHIMIN,,Rhinanthus minor L. 
Dicotyledons,Orobanchaceae,Rhinanthus minor ssp. groenlandicus,Synonym,Rhinanthus minor,,,,3488,RHIMINGRO,,Rhinanthus minor L. ssp. groenlandicus (Ostenf.) L. Neumann 
Dicotyledons,Orobanchaceae,Rhinanthus minor ssp. minor,Synonym,Rhinanthus minor,,,,3488,RHIMINMIN,,Rhinanthus minor L. ssp. minor 
Dicotyledons,Orobanchaceae,Triphysaria eriantha,Accepted,Triphysaria eriantha,Bare species,native,,9715,TRIERI2,,Triphysaria eriantha (Benth.) T.I. Chuang & Heckard 
Dicotyledons,Orobanchaceae,Triphysaria eriantha ssp. eriantha,Accepted,Triphysaria eriantha ssp. eriantha,,native,,4137,TRIERIERI2,,Triphysaria eriantha (Benth.) T.I. Chuang & Heckard ssp. eriantha 
Dicotyledons,Orobanchaceae,Triphysaria pusilla,Accepted,Triphysaria pusilla,,native,,4193,TRIPUS,,Triphysaria pusilla (Benth.) T.I. Chuang & Heckard 
